bank_ticker,bank_name,cik,period,period_end,metric,metric_label,value,unit,source_namespace,source_concept,source_form,source_filed,source_frame,source_accession,period_source,data_type,period_sort
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,interest_expense,Interest expense,4541000000.0,USD,us-gaap,InterestExpense,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,interest_expense_deposits,Interest expense on deposits,943000000.0,USD,us-gaap,InterestExpenseDeposits,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,interest_income,Interest income,16369000000.0,USD,us-gaap,InterestAndDividendIncomeOperating,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,net_income,Net income,6784000000.0,USD,us-gaap,NetIncomeLoss,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,noninterest_expense,Noninterest expense,13224000000.0,USD,us-gaap,NoninterestExpense,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,noninterest_income,Noninterest income,10721000000.0,USD,us-gaap,NoninterestIncome,10-Q,2019-07-29,CY2018Q2,0000070858-19-000042,reported_quarterly_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,total_assets,Total assets,2291670000000.0,USD,us-gaap,Assets,10-Q,2019-07-29,CY2018Q2I,0000070858-19-000042,reported_instant_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,total_deposits,Total deposits,1309691000000.0,USD,us-gaap,Deposits,10-Q,2018-07-30,CY2018Q2I,0000070858-18-000030,reported_instant_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,total_equity,Total equity,264216000000.0,USD,us-gaap,StockholdersEquity,10-Q,2019-10-28,CY2018Q2I,0000070858-19-000057,reported_instant_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,total_loans,Total loans,925774000000.0,USD,us-gaap,LoansAndLeasesReceivableNetReportedAmount,10-Q,2018-07-30,CY2018Q2I,0000070858-18-000030,reported_instant_frame,real_public_sec_edgar,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,interest_expense,Interest expense,4904000000.0,USD,us-gaap,InterestExpense,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,interest_expense_deposits,Interest expense on deposits,1230000000.0,USD,us-gaap,InterestExpenseDeposits,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,interest_income,Interest income,16965000000.0,USD,us-gaap,InterestAndDividendIncomeOperating,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,net_income,Net income,7167000000.0,USD,us-gaap,NetIncomeLoss,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,noninterest_expense,Noninterest expense,13014000000.0,USD,us-gaap,NoninterestExpense,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,noninterest_income,Noninterest income,10663000000.0,USD,us-gaap,NoninterestIncome,10-Q,2019-10-28,CY2018Q3,0000070858-19-000057,reported_quarterly_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,total_assets,Total assets,2338833000000.0,USD,us-gaap,Assets,10-Q,2019-10-28,CY2018Q3I,0000070858-19-000057,reported_instant_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,total_deposits,Total deposits,1345649000000.0,USD,us-gaap,Deposits,10-Q,2018-10-29,CY2018Q3I,0000070858-18-000042,reported_instant_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,total_equity,Total equity,262158000000.0,USD,us-gaap,StockholdersEquity,10-Q,2019-10-28,CY2018Q3I,0000070858-19-000057,reported_instant_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,total_loans,Total loans,920067000000.0,USD,us-gaap,LoansAndLeasesReceivableNetReportedAmount,10-Q,2018-10-29,CY2018Q3I,0000070858-18-000042,reported_instant_frame,real_public_sec_edgar,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,interest_expense,Interest expense,5332000000.0,USD,us-gaap,InterestExpense,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,interest_expense_deposits,Interest expense on deposits,1562000000.0,USD,us-gaap,InterestExpenseDeposits,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,interest_income,Interest income,17836000000.0,USD,us-gaap,InterestAndDividendIncomeOperating,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,net_income,Net income,7278000000.0,USD,us-gaap,NetIncomeLoss,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,noninterest_expense,Noninterest expense,13074000000.0,USD,us-gaap,NoninterestExpense,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,noninterest_income,Noninterest income,10173000000.0,USD,us-gaap,NoninterestIncome,10-K-derived,2021-02-24,CY2018Q4_DERIVED,0000070858-21-000023,derived_q4_from_reported_fy_less_q1_q3,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,total_assets,Total assets,2354507000000.0,USD,us-gaap,Assets,10-K,2020-02-19,CY2018Q4I,0000070858-20-000011,reported_instant_frame,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,total_deposits,Total deposits,1381476000000.0,USD,us-gaap,Deposits,10-K,2020-02-19,CY2018Q4I,0000070858-20-000011,reported_instant_frame,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,total_equity,Total equity,265325000000.0,USD,us-gaap,StockholdersEquity,10-K,2022-02-22,CY2018Q4I,0000070858-22-000062,reported_instant_frame,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,total_loans,Total loans,937294000000.0,USD,us-gaap,LoansAndLeasesReceivableNetReportedAmount,10-K,2020-02-19,CY2018Q4I,0000070858-20-000011,reported_instant_frame,real_public_sec_edgar,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,interest_expense,Interest expense,5795000000.0,USD,us-gaap,InterestExpense,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,interest_expense_deposits,Interest expense on deposits,1795000000.0,USD,us-gaap,InterestExpenseDeposits,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,interest_income,Interest income,18170000000.0,USD,us-gaap,InterestAndDividendIncomeOperating,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,net_income,Net income,7311000000.0,USD,us-gaap,NetIncomeLoss,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,noninterest_expense,Noninterest expense,13224000000.0,USD,us-gaap,NoninterestExpense,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,noninterest_income,Noninterest income,10629000000.0,USD,us-gaap,NoninterestIncome,10-Q,2020-05-01,CY2019Q1,0000070858-20-000023,reported_quarterly_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,total_assets,Total assets,2377164000000.0,USD,us-gaap,Assets,10-Q,2020-05-01,CY2019Q1I,0000070858-20-000023,reported_instant_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,total_deposits,Total deposits,1379337000000.0,USD,us-gaap,Deposits,10-Q,2019-04-26,CY2019Q1I,0000070858-19-000026,reported_instant_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,total_equity,Total equity,267010000000.0,USD,us-gaap,StockholdersEquity,10-Q,2020-07-31,CY2019Q1I,0000070858-20-000040,reported_instant_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,total_loans,Total loans,936038000000.0,USD,us-gaap,LoansAndLeasesReceivableNetReportedAmount,10-Q,2019-04-26,CY2019Q1I,0000070858-19-000026,reported_instant_frame,real_public_sec_edgar,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,interest_expense,Interest expense,6035000000.0,USD,us-gaap,InterestExpense,10-Q,2020-07-31,CY2019Q2,0000070858-20-000040,reported_quarterly_frame,real_public_sec_edgar,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,interest_expense_deposits,Interest expense on deposits,1965000000.0,USD,us-gaap,InterestExpenseDeposits,10-Q,2020-07-31,CY2019Q2,0000070858-20-000040,reported_quarterly_frame,real_public_sec_edgar,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,interest_income,Interest income,18224000000.0,USD,us-gaap,InterestAndDividendIncomeOperating,10-Q,2020-07-31,CY2019Q2,0000070858-20-000040,reported_quarterly_frame,real_public_sec_edgar,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,net_income,Net income,7348000000.0,USD,us-gaap,NetIncomeLoss,10-Q,2020-07-31,CY2019Q2,0000070858-20-000040,reported_quarterly_frame,real_public_sec_edgar,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,noninterest_expense,Noninterest expense,13268000000.0,USD,us-gaap,NoninterestExpense,10-Q,2020-07-31,CY2019Q2,0000070858-20-000040,reported_quarterly_frame,real_public_sec_edgar,20192
