bank_ticker,bank_name,cik,period,period_end,interest_expense,interest_expense_deposits,interest_income,net_income,noninterest_expense,noninterest_income,tier_1_capital,tier_1_capital_ratio,total_assets,total_deposits,total_equity,total_loans,interest_expense_source_concept,interest_expense_deposits_source_concept,interest_income_source_concept,net_income_source_concept,noninterest_expense_source_concept,noninterest_income_source_concept,tier_1_capital_source_concept,tier_1_capital_ratio_source_concept,total_assets_source_concept,total_deposits_source_concept,total_equity_source_concept,total_loans_source_concept,data_type,period_sort
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q2,2018-06-30,4541000000.0,943000000.0,16369000000.0,6784000000.0,13224000000.0,10721000000.0,,,2291670000000.0,1309691000000.0,264216000000.0,925774000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20182
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q3,2018-09-30,4904000000.0,1230000000.0,16965000000.0,7167000000.0,13014000000.0,10663000000.0,,,2338833000000.0,1345649000000.0,262158000000.0,920067000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20183
BAC,BANK OF AMERICA CORP /DE/,0000070858,2018Q4,2018-12-31,5332000000.0,1562000000.0,17836000000.0,7278000000.0,13074000000.0,10173000000.0,,,2354507000000.0,1381476000000.0,265325000000.0,937294000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20184
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q1,2019-03-31,5795000000.0,1795000000.0,18170000000.0,7311000000.0,13224000000.0,10629000000.0,,,2377164000000.0,1379337000000.0,267010000000.0,936038000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20191
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q2,2019-06-30,6035000000.0,1965000000.0,18224000000.0,7348000000.0,13268000000.0,10895000000.0,,,2395892000000.0,1375093000000.0,271408000000.0,954273000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20192
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q3,2019-09-30,5729000000.0,1880000000.0,17916000000.0,5777000000.0,15169000000.0,10620000000.0,,,2426330000000.0,1392836000000.0,268387000000.0,963477000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20193
BAC,BANK OF AMERICA CORP /DE/,0000070858,2019Q4,2019-12-31,4786000000.0,1548000000.0,16926000000.0,6994000000.0,13239000000.0,10209000000.0,,,2434079000000.0,1434803000000.0,264810000000.0,974010000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20194
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q1,2020-03-31,3968000000.0,1184000000.0,16098000000.0,4010000000.0,13475000000.0,10637000000.0,,,2619954000000.0,1583325000000.0,264918000000.0,1035019000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20201
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q2,2020-06-30,1692000000.0,373000000.0,12540000000.0,3533000000.0,13410000000.0,11478000000.0,,,2741688000000.0,1718666000000.0,265637000000.0,979555000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,LoansAndLeasesReceivableNetReportedAmount,real_public_sec_edgar_wide,20202
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q3,2020-09-30,1357000000.0,227000000.0,11486000000.0,4881000000.0,14401000000.0,10207000000.0,,,2738452000000.0,1702880000000.0,268850000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20203
BAC,BANK OF AMERICA CORP /DE/,0000070858,2020Q4,2020-12-31,1208000000.0,159000000.0,11461000000.0,5470000000.0,13927000000.0,9846000000.0,,,2819627000000.0,1795480000000.0,272924000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20204
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q1,2021-03-31,1198000000.0,133000000.0,11395000000.0,8050000000.0,15515000000.0,12624000000.0,,,2969992000000.0,1884938000000.0,274000000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20211
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q2,2021-06-30,1154000000.0,128000000.0,11387000000.0,9224000000.0,15045000000.0,11233000000.0,,,3029894000000.0,1909142000000.0,277119000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20212
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q3,2021-09-30,1242000000.0,133000000.0,12336000000.0,7691000000.0,14440000000.0,11672000000.0,,,3085446000000.0,1964804000000.0,272464000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20213
BAC,BANK OF AMERICA CORP /DE/,0000070858,2021Q4,2021-12-31,1144000000.0,143000000.0,12554000000.0,7013000000.0,14731000000.0,10650000000.0,,,3169495000000.0,2064446000000.0,270066000000.0,966737000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20214
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q1,2022-03-31,1322000000.0,164000000.0,12894000000.0,7067000000.0,15319000000.0,11656000000.0,,,3238223000000.0,2072409000000.0,266617000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20221
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q2,2022-06-30,2531000000.0,320000000.0,14975000000.0,6247000000.0,15273000000.0,10244000000.0,,,3111606000000.0,1984349000000.0,269118000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20222
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q3,2022-09-30,5856000000.0,1235000000.0,19621000000.0,7082000000.0,15303000000.0,10737000000.0,,,3072953000000.0,1938097000000.0,269524000000.0,,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,,real_public_sec_edgar_wide,20223
BAC,BANK OF AMERICA CORP /DE/,0000070858,2022Q4,2022-12-31,10394000000.0,2999000000.0,25075000000.0,7132000000.0,15543000000.0,9851000000.0,,,3051375000000.0,1930341000000.0,273197000000.0,1033065000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20224
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q1,2023-03-31,14207000000.0,4314000000.0,28655000000.0,8161000000.0,16238000000.0,11810000000.0,,,3194657000000.0,1910402000000.0,280196000000.0,1033892000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20231
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q2,2023-06-30,18196000000.0,5785000000.0,32354000000.0,7408000000.0,16038000000.0,11039000000.0,,,3123198000000.0,1877209000000.0,283319000000.0,1038274000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20232
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q3,2023-09-30,19245000000.0,7340000000.0,33624000000.0,7802000000.0,15838000000.0,10788000000.0,,,3153090000000.0,1884601000000.0,287064000000.0,1035862000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20233
BAC,BANK OF AMERICA CORP /DE/,0000070858,2023Q4,2023-12-31,21683000000.0,8724000000.0,35629000000.0,2934000000.0,17731000000.0,12201000000.0,,,3180151000000.0,1923827000000.0,290209000000.0,1040390000000.0,InterestExpense,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20234
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q1,2024-03-31,22253000000.0,9138000000.0,36285000000.0,6674000000.0,17237000000.0,11786000000.0,,,3273803000000.0,1946496000000.0,293552000000.0,1035943000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20241
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q2,2024-06-30,23152000000.0,9655000000.0,36854000000.0,6897000000.0,16309000000.0,11675000000.0,,,3257996000000.0,1910491000000.0,293892000000.0,1043547000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20242
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q3,2024-09-30,23524000000.0,10125000000.0,37491000000.0,6896000000.0,16479000000.0,11378000000.0,,,3324293000000.0,1930352000000.0,296512000000.0,1062549000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20243
BAC,BANK OF AMERICA CORP /DE/,0000070858,2024Q4,2024-12-31,21618000000.0,9524000000.0,35977000000.0,6506000000.0,16787000000.0,14957000000.0,,,3261299000000.0,1965467000000.0,293963000000.0,1082595000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20244
BAC,BANK OF AMERICA CORP /DE/,0000070858,2025Q1,2025-03-31,19623000000.0,8632000000.0,34066000000.0,7360000000.0,17770000000.0,13804000000.0,,,3349039000000.0,1989564000000.0,293949000000.0,1097369000000.0,InterestExpenseOperating,InterestExpenseDeposits,InterestAndDividendIncomeOperating,NetIncomeLoss,NoninterestExpense,NoninterestIncome,,,Assets,Deposits,StockholdersEquity,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,real_public_sec_edgar_wide,20251
