file_name,column_name,data_type,definition
bank_financials_real_long.csv,bank_name,object,SEC company title from company_tickers.json.
bank_financials_real_long.csv,bank_ticker,object,Public ticker symbol for the bank holding company.
bank_financials_real_long.csv,cik,object,"SEC Central Index Key, zero-padded to 10 digits."
bank_financials_real_long.csv,data_type,object,"Label distinguishing real public data, ratios, assumptions, and modeled scenario data."
bank_financials_real_long.csv,metric,object,Normalized metric name used by the pipeline.
bank_financials_real_long.csv,metric_label,object,Human-readable metric label.
bank_financials_real_long.csv,period,object,Calendar quarter in YYYYQ# format.
bank_financials_real_long.csv,period_end,object,Calendar quarter end date.
bank_financials_real_long.csv,period_sort,int64,Numeric helper used to sort period labels chronologically in Power BI.
bank_financials_real_long.csv,period_source,object,Whether the quarter was directly reported or Q4 was derived from FY less Q1-Q3.
bank_financials_real_long.csv,source_accession,object,SEC accession number for the selected fact.
bank_financials_real_long.csv,source_concept,object,XBRL concept used to populate the metric.
bank_financials_real_long.csv,source_filed,object,SEC filing date for the selected fact.
bank_financials_real_long.csv,source_form,object,SEC form used by the selected fact.
bank_financials_real_long.csv,source_frame,object,SEC XBRL frame used for the selected fact.
bank_financials_real_long.csv,source_namespace,object,XBRL taxonomy namespace.
bank_financials_real_long.csv,unit,object,SEC or FRED unit of measure.
bank_financials_real_long.csv,value,float64,Metric value as reported or derived from public filings.
bank_financials_real_wide.csv,bank_name,object,SEC company title from company_tickers.json.
bank_financials_real_wide.csv,bank_ticker,object,Public ticker symbol for the bank holding company.
bank_financials_real_wide.csv,cik,object,"SEC Central Index Key, zero-padded to 10 digits."
bank_financials_real_wide.csv,data_type,object,"Label distinguishing real public data, ratios, assumptions, and modeled scenario data."
bank_financials_real_wide.csv,interest_expense,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,interest_expense_deposits,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,interest_expense_deposits_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,interest_expense_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,interest_income,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,interest_income_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,net_income,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,net_income_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,noninterest_expense,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,noninterest_expense_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,noninterest_income,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,noninterest_income_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,period,object,Calendar quarter in YYYYQ# format.
bank_financials_real_wide.csv,period_end,object,Calendar quarter end date.
bank_financials_real_wide.csv,period_sort,int64,Numeric helper used to sort period labels chronologically in Power BI.
bank_financials_real_wide.csv,tier_1_capital,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,tier_1_capital_ratio,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,tier_1_capital_ratio_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,tier_1_capital_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_assets,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_assets_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_deposits,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_deposits_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_equity,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_equity_source_concept,object,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_loans,float64,Pipeline output field used for analysis or validation.
bank_financials_real_wide.csv,total_loans_source_concept,object,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,bank_name,object,SEC company title from company_tickers.json.
bank_ratios_real.csv,bank_ticker,object,Public ticker symbol for the bank holding company.
bank_ratios_real.csv,cik,object,"SEC Central Index Key, zero-padded to 10 digits."
bank_ratios_real.csv,data_type,object,"Label distinguishing real public data, ratios, assumptions, and modeled scenario data."
bank_ratios_real.csv,deposit_interest_expense_to_deposits_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,deposits_to_assets,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,efficiency_ratio,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,equity_to_assets,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,interest_expense_to_deposits_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,loan_yield_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,loans_to_deposits,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,net_income_to_assets_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,net_interest_margin_proxy,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,noninterest_expense_to_assets_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,noninterest_income_to_assets_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,period,object,Calendar quarter in YYYYQ# format.
bank_ratios_real.csv,period_end,object,Calendar quarter end date.
bank_ratios_real.csv,period_sort,int64,Numeric helper used to sort period labels chronologically in Power BI.
bank_ratios_real.csv,roa_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,roe_annualized,float64,Pipeline output field used for analysis or validation.
bank_ratios_real.csv,tier_1_capital_ratio,float64,Pipeline output field used for analysis or validation.
bank_scenario_model.csv,bank_name,object,SEC company title from company_tickers.json.
bank_scenario_model.csv,bank_ticker,object,Public ticker symbol for the bank holding company.
bank_scenario_model.csv,baseline_period,object,Latest bank public-data quarter used as the model anchor.
bank_scenario_model.csv,baseline_period_end,object,End date of the baseline public-data quarter.
bank_scenario_model.csv,capital_ratio_assumption,float64,Pipeline output field used for analysis or validation.
bank_scenario_model.csv,cik,object,"SEC Central Index Key, zero-padded to 10 digits."
bank_scenario_model.csv,credit_loss_rate_annual,float64,Pipeline output field used for analysis or validation.
bank_scenario_model.csv,data_type,object,"Label distinguishing real public data, ratios, assumptions, and modeled scenario data."
bank_scenario_model.csv,deposit_beta,float64,Pipeline output field used for analysis or validation.
bank_scenario_model.csv,expense_growth_annual,float64,Pipeline output field used for analysis or validation.
bank_scenario_model.csv,forecast_quarter,int64,Sequential forecast quarter number after the bank baseline period.
bank_scenario_model.csv,ftp_adjusted_net_interest_income,float64,Modeled NII recast through FTP spread attribution and public-rate curve proxies.
bank_scenario_model.csv,ftp_asset_transfer_rate,float64,Modeled annualized FTP charge rate assigned to loan assets using Treasury 2Y and rate-shock proxies.
bank_scenario_model.csv,ftp_customer_loan_spread,float64,Modeled customer loan yield less FTP asset transfer rate.
