period,year,quarter_number,quarter_label,quarter_sort,period_start,period_end,data_type
2018Q2,2018,2,2018Q2,20182,2018-04-01,2018-06-30,dimension_quarter
2018Q3,2018,3,2018Q3,20183,2018-07-01,2018-09-30,dimension_quarter
2018Q4,2018,4,2018Q4,20184,2018-10-01,2018-12-31,dimension_quarter
2019Q1,2019,1,2019Q1,20191,2019-01-01,2019-03-31,dimension_quarter
2019Q2,2019,2,2019Q2,20192,2019-04-01,2019-06-30,dimension_quarter
2019Q3,2019,3,2019Q3,20193,2019-07-01,2019-09-30,dimension_quarter
2019Q4,2019,4,2019Q4,20194,2019-10-01,2019-12-31,dimension_quarter
2020Q1,2020,1,2020Q1,20201,2020-01-01,2020-03-31,dimension_quarter
2020Q2,2020,2,2020Q2,20202,2020-04-01,2020-06-30,dimension_quarter
2020Q3,2020,3,2020Q3,20203,2020-07-01,2020-09-30,dimension_quarter
2020Q4,2020,4,2020Q4,20204,2020-10-01,2020-12-31,dimension_quarter
2021Q1,2021,1,2021Q1,20211,2021-01-01,2021-03-31,dimension_quarter
2021Q2,2021,2,2021Q2,20212,2021-04-01,2021-06-30,dimension_quarter
2021Q3,2021,3,2021Q3,20213,2021-07-01,2021-09-30,dimension_quarter
2021Q4,2021,4,2021Q4,20214,2021-10-01,2021-12-31,dimension_quarter
2022Q1,2022,1,2022Q1,20221,2022-01-01,2022-03-31,dimension_quarter
2022Q2,2022,2,2022Q2,20222,2022-04-01,2022-06-30,dimension_quarter
2022Q3,2022,3,2022Q3,20223,2022-07-01,2022-09-30,dimension_quarter
2022Q4,2022,4,2022Q4,20224,2022-10-01,2022-12-31,dimension_quarter
2023Q1,2023,1,2023Q1,20231,2023-01-01,2023-03-31,dimension_quarter
2023Q2,2023,2,2023Q2,20232,2023-04-01,2023-06-30,dimension_quarter
2023Q3,2023,3,2023Q3,20233,2023-07-01,2023-09-30,dimension_quarter
2023Q4,2023,4,2023Q4,20234,2023-10-01,2023-12-31,dimension_quarter
2024Q1,2024,1,2024Q1,20241,2024-01-01,2024-03-31,dimension_quarter
2024Q2,2024,2,2024Q2,20242,2024-04-01,2024-06-30,dimension_quarter
2024Q3,2024,3,2024Q3,20243,2024-07-01,2024-09-30,dimension_quarter
2024Q4,2024,4,2024Q4,20244,2024-10-01,2024-12-31,dimension_quarter
2025Q1,2025,1,2025Q1,20251,2025-01-01,2025-03-31,dimension_quarter
2025Q2,2025,2,2025Q2,20252,2025-04-01,2025-06-30,dimension_quarter
2025Q3,2025,3,2025Q3,20253,2025-07-01,2025-09-30,dimension_quarter
2025Q4,2025,4,2025Q4,20254,2025-10-01,2025-12-31,dimension_quarter
2026Q1,2026,1,2026Q1,20261,2026-01-01,2026-03-31,dimension_quarter
2026Q2,2026,2,2026Q2,20262,2026-04-01,2026-06-30,dimension_quarter
2026Q3,2026,3,2026Q3,20263,2026-07-01,2026-09-30,dimension_quarter
2026Q4,2026,4,2026Q4,20264,2026-10-01,2026-12-31,dimension_quarter
2027Q1,2027,1,2027Q1,20271,2027-01-01,2027-03-31,dimension_quarter
2027Q2,2027,2,2027Q2,20272,2027-04-01,2027-06-30,dimension_quarter
2027Q3,2027,3,2027Q3,20273,2027-07-01,2027-09-30,dimension_quarter
2027Q4,2027,4,2027Q4,20274,2027-10-01,2027-12-31,dimension_quarter
2028Q1,2028,1,2028Q1,20281,2028-01-01,2028-03-31,dimension_quarter
